state,job_postings,avg_salary,med_salary,min_salary,max_salary,cost_of_living,disposable_income,adjusted_salary,total_views,remote_ratio,applies_per_job,views_per_job,senior_job_share
Alabama,965,91471.24,18.0,71218.14150943396,111724.3396226415,33654.0,19739.0,2.72,6186.0,0.05,3.58,6.53,0.0
Alaska,180,126968.35,19.0,110960.2711111111,142976.42555555556,48670.0,21219.0,2.61,960.0,0.07,1.9,5.36,0.0
Arizona,2399,106177.91,21.33,87175.8504587156,125179.96504587156,39856.0,23190.0,2.66,31804.0,0.05,6.91,13.48,0.0
Arkansas,649,89492.55,25.17,75477.28333333334,103507.81818181818,32979.0,18273.0,2.71,4523.0,0.05,6.02,7.1,0.0
California,10024,133681.78,26.0,109837.96808581862,157408.0100669507,53171.0,23790.0,2.51,150142.0,0.07,8.58,15.2,0.0
Colorado,2033,102639.63,25.0,86075.89025236593,119203.3608675079,45931.0,26038.0,2.23,19880.0,0.07,6.64,9.92,0.0
Connecticut,1091,112549.79,27.25,94509.84713541665,130589.72302083333,46912.0,26825.0,2.4,9671.0,0.05,6.05,9.01,0.0
Delaware,292,114293.8,31200.0,100165.21333333333,128422.38133333334,44389.0,21610.0,2.57,2985.0,0.02,9.9,10.29,0.0
District of Columbia,1195,123387.78,58.0,103933.4765625,142842.078125,,,,17514.0,0.12,8.28,14.84,0.0
Florida,5598,99410.41,24.0,82835.38344873503,115985.43732356858,40512.0,19704.0,2.45,51848.0,0.04,5.55,9.39,0.0
Georgia,3216,109512.56,26.14,90549.47884875847,128475.64717832957,38747.0,22509.0,2.83,35111.0,0.05,6.56,11.04,0.0
Hawaii,371,98388.82,23.0,83402.76147540983,113374.88852459016,55491.0,9551.0,1.77,2260.0,0.03,3.52,6.17,0.0
Idaho,371,88633.25,23.0,71848.88461538461,105417.61,37658.0,17982.0,2.35,2185.0,0.05,2.04,5.95,0.0
Illinois,4216,113926.07,29.35,93760.68908937606,134091.46065767284,41395.0,25726.0,2.75,50172.0,0.05,6.79,12.02,0.0
Indiana,1689,92713.38,26.92,80152.93675000001,105273.832125,36207.0,20202.0,2.56,10323.0,0.03,3.28,6.21,0.0
Iowa,928,93765.81,22.26,75494.79273972604,112036.81931506848,35871.0,20539.0,2.61,6288.0,0.04,5.68,6.87,0.0
Kansas,858,87487.0,22.0,72720.74683544303,102253.26316455696,35185.0,21079.0,2.49,6401.0,0.04,7.14,7.54,0.0
